Type,Time,x,y,z,Action
Gyro,0.7856149,-28.710897,-22.955845,-11.445668,Neutral
Accel,0.7856149,-3662.0,-2075.0,9125.0,Neutral
Gyro,0.7856149,-28.658207,-22.97681,-11.643463,Neutral
Accel,0.8120482,-3565.0,-1832.0,9036.0,Neutral
Gyro,0.8120482,-28.663763,-23.164669,-11.876978,Neutral
Accel,0.8328921,-3744.0,-1806.0,9462.0,Neutral
Gyro,0.8328921,-28.80212,-23.423954,-11.888325,Neutral
Accel,0.8568848,-4084.0,-1989.0,9647.0,Neutral
Gyro,0.8568848,-29.010498,-23.877798,-11.789121,Neutral
Accel,0.8891576,-3945.0,-1901.0,9933.0,Neutral
Gyro,0.8891576,-29.387768,-24.227049,-11.788448,Neutral
Accel,0.909037,-3787.0,-1609.0,10128.0,Neutral
Gyro,0.909037,-29.653027,-24.818283,-11.722014,Neutral
Accel,0.9432384,-3700.0,-1280.0,10509.0,Neutral
Gyro,0.9432384,-30.100466,-25.185133,-11.618855,Neutral
Accel,0.9603646,-3795.0,-1115.0,10519.0,Neutral
Gyro,0.9603646,-30.46015,-25.659847,-11.501369,Neutral
Accel,0.9985831,-4109.0,-1937.0,10781.0,Neutral
Gyro,0.9985831,-31.109852,-25.93154,-11.448696,Neutral
Accel,1.015972,-4067.0,-2400.0,10767.0,Neutral
Gyro,1.015972,-31.543064,-26.338106,-11.366731,Neutral
Accel,1.032439,-4213.0,-1984.0,10628.0,Neutral
Gyro,1.032439,-32.247795,-26.596027,-11.288589,Neutral
Accel,1.052037,-4182.0,-1520.0,10467.0,Neutral
Gyro,1.070246,-32.782486,-26.942232,-11.209964,Neutral
Accel,1.087197,-4878.0,-1721.0,10334.0,Neutral
Gyro,1.087197,-33.738659,-27.18709,-11.095469,Neutral
Accel,1.105282,-4795.0,-2083.0,10252.0,Neutral
Gyro,1.105282,-34.475967,-27.611338,-10.762963,Neutral
Accel,1.138077,-4520.0,-1565.0,10050.0,Neutral
Gyro,1.138077,-35.540512,-27.954496,-10.441103,Neutral
Accel,1.154518,-3895.0,-1199.0,9480.0,Neutral
Gyro,1.154518,-36.281765,-28.424248,-9.847132,Neutral
Accel,1.206645,-4132.0,-690.0,8652.0,Neutral
Gyro,1.206645,-37.471386,-28.692259,-9.522696,Neutral
Accel,1.206645,-5038.0,-2787.0,8073.0,Neutral
Gyro,1.206645,-38.389107,-28.995789,-9.313461,Neutral
Accel,1.2339,-4773.0,-6996.0,7346.0,Neutral
Gyro,1.2339,-39.674305,-29.234337,-9.262609,Neutral
Accel,1.262149,-4697.0,-9190.0,6682.0,Neutral
Gyro,1.262149,-40.187057,-29.672234,-9.289814,Neutral
Accel,1.290893,-4315.0,-10620.0,6076.0,Neutral
Gyro,1.290893,-40.355583,-29.850868,-9.802469,Neutral
Accel,1.307824,-3893.0,-10368.0,6297.0,Neutral
Gyro,1.307824,-40.163357,-30.002781,-11.873415,Neutral
Accel,1.342011,-2619.0,-8506.0,5861.0,Neutral
Gyro,1.342011,-39.475616,-30.070461,-13.757402,Neutral
Accel,1.359264,-2513.0,-7095.0,5894.0,Neutral
