x,y,z,yaw,pitch,roll,action
-25726.0,-9456.0,-836.0,-31.062357,-25.452982,-36.934464,Shoot
-23457.0,-6729.0,8890.0,-36.388248,-34.632843,-41.479675,Shoot
-13342.0,5495.0,15403.0,-38.879993,-39.638306,-46.69796,Shoot
-13950.0,4022.0,11844.0,-36.205753,-42.41032,-48.735119,Shoot
-17379.0,1175.0,3612.0,-29.3762,-40.888321,-43.87096,Shoot
-17644.0,5237.0,906.0,-25.636518,-35.147442,-36.420631,Shoot
-13387.0,14061.0,1121.0,-20.844109,-30.878424,-35.420471,Shoot
-5536.0,17643.0,2526.0,-17.503853,-25.282803,-37.302792,Shoot
-441.0,18073.0,5692.0,-12.796161,-22.123541,-37.482185,Shoot
-1052.0,13925.0,5458.0,-10.660426,-17.78968,-33.799526,Shoot
1416.0,3755.0,3915.0,-8.636809,-15.191227,-28.779388,Shoot
4216.0,704.0,-45.0,-7.520261,-12.325178,-21.302486,Neutral
3867.0,7068.0,706.0,-5.716715,-10.736494,-18.8957,Neutral
3917.0,4603.0,-865.0,-4.368924,-7.545374,-17.54945,Neutral
4891.0,163.0,-3398.0,-2.847019,-5.442245,-15.319879,Neutral
2282.0,-2054.0,-2474.0,-2.491301,-3.002312,-10.408621,Neutral
2751.0,-7751.0,843.0,-4.044754,-2.411417,-7.670542,Neutral
-898.0,-12807.0,2671.0,-5.888142,-3.370853,-4.061652,Neutral
-1803.0,-13953.0,3660.0,-8.464284,-4.71439,-1.951635,Neutral
-3681.0,-13907.0,3828.0,-9.789028,-7.60736,0.003638,Neutral
-3035.0,-8852.0,4236.0,-11.49956,-9.465584,0.505342,Neutral
-2077.0,-5674.0,4811.0,-11.943248,-11.798592,0.809688,Neutral
-3180.0,-3252.0,5239.0,-12.00823,-12.93589,1.191714,Neutral
-3768.0,-4044.0,5269.0,-11.921044,-14.131577,2.224375,Neutral
-4016.0,-4171.0,5399.0,-11.576281,-14.785951,2.8799,Neutral
-2640.0,-4437.0,5359.0,-10.950324,-15.945743,2.616003,Neutral
-1478.0,-4438.0,6491.0,-9.730227,-16.852612,1.359798,Neutral
-179.0,-4941.0,7604.0,-8.865493,-18.102013,-1.731197,Neutral
-929.0,-8547.0,8844.0,-7.70822,-18.945034,-3.651088,Neutral
-2034.0,-9282.0,9050.0,-7.661896,-20.39547,-5.482238,Neutral
-2906.0,-10285.0,8860.0,-8.319839,-21.532532,-6.179654,Neutral
-2839.0,-9608.0,8808.0,-9.016289,-22.885088,-6.762915,Neutral
-222.0,-3888.0,8377.0,-9.721409,-23.633213,-7.077534,Neutral
699.0,243.0,8185.0,-9.614331,-24.362633,-7.546314,Neutral
1405.0,3029.0,7631.0,-8.976894,-24.330097,-7.459162,Neutral
904.0,3350.0,7713.0,-8.676804,-23.861101,-6.555508,Neutral
1362.0,3638.0,8330.0,-8.66915,-23.506096,-5.871707,Neutral
374.0,2266.0,8054.0,-8.670377,-22.88372,-4.997295,Neutral
-519.0,1121.0,8401.0,-8.484957,-22.163868,-4.441777,Neutral
-519.0,-352.0,9563.0,-8.110318,-20.930456,-4.022316,Neutral
-768.0,-5325.0,11021.0,-7.82602,-20.165466,-4.067779,Neutral
-999.0,-9534.0,11224.0,-7.932761,-19.083277,-4.501898,Neutral
-4146.0,-13547.0,10761.0,-8.237066,-18.417971,-5.317513,Neutral
-4080.0,-12966.0,10950.0,-8.598713,-17.597734,-7.36336,Neutral
-5282.0,-11331.0,10700.0,-9.40573,-17.269909,-8.69306,Neutral
-4914.0,-8202.0,9961.0,-10.045498,-17.146605,-9.83295,Neutral
-3927.0,-3283.0,8698.0,-10.443933,-17.220791,-9.735334,Neutral
-3921.0,-328.0,7728.0,-10.387685,-17.156036,-8.721389,Neutral
-3640.0,2088.0,6570.0,-10.325716,-17.012312,-7.96415,Neutral
-3334.0,2966.0,5951.0,-10.423139,-16.89694,-7.119764,Neutral
-3038.0,3195.0,5531.0,-10.441019,-16.832108,-6.745751,Neutral
-2787.0,1985.0,5237.0,-10.354322,-16.688175,-6.321109,Neutral
-2498.0,-99.0,4698.0,-9.909468,-16.62652,-6.210755,Neutral
-1625.0,-222.0,4871.0,-9.407215,-16.497618,-7.017398,Neutral
-460.0,81.0,5495.0,-8.392636,-16.362305,-8.360874,Neutral
-2106.0,-1697.0,6532.0,-8.022488,-16.013359,-10.747625,Neutral
-5806.0,-10379.0,6668.0,-9.089035,-16.027864,-11.809118,Neutral
-4175.0,-13041.0,6746.0,-10.241653,-17.238955,-11.697473,Neutral
-3469.0,-12199.0,6852.0,-10.736321,-18.418859,-11.092651,Neutral
-2530.0,-8674.0,6399.0,-10.671576,-19.144835,-10.805538,Neutral
-1532.0,-2985.0,4621.0,-10.506414,-19.115557,-11.259768,Neutral
-1404.0,1167.0,4345.0,-10.360501,-18.737928,-12.352159,Neutral
-2841.0,3956.0,4422.0,-10.323599,-18.265375,-12.927304,Neutral
-2549.0,3794.0,3835.0,-10.426129,-17.39056,-12.720239,Neutral
-3351.0,2395.0,3495.0,-10.455171,-16.820124,-11.853845,Neutral
-4229.0,1869.0,3453.0,-10.49843,-15.973927,-10.740711,Neutral
-4013.0,1641.0,3254.0,-10.473621,-15.618639,-10.625219,Neutral
-4822.0,-442.0,2641.0,-10.305084,-15.397433,-10.949471,Neutral
-5075.0,-2913.0,2649.0,-10.23201,-15.343199,-11.17832,Neutral
-5424.0,-4220.0,2882.0,-10.257521,-15.7582,-11.768584,Neutral
-5205.0,-7064.0,2347.0,-10.672835,-16.373936,-12.347925,Neutral
-4567.0,-9144.0,1098.0,-10.969146,-17.566486,-12.994104,Neutral
-3752.0,-10005.0,193.0,-10.928295,-18.186502,-13.307166,Neutral
-3709.0,-8405.0,536.0,-10.997637,-18.816612,-14.317212,Neutral
-1903.0,-6368.0,-21.0,-11.232673,-19.298162,-15.159413,Neutral
-1753.0,-4053.0,-84.0,-11.237659,-19.928501,-15.75665,Neutral
-2611.0,1209.0,994.0,-10.917844,-19.945499,-15.876966,Neutral
-3104.0,5007.0,2496.0,-10.588908,-19.727158,-16.344227,Neutral
-3267.0,8820.0,4821.0,-9.913877,-19.684782,-16.657982,Neutral
-2635.0,10810.0,6260.0,-9.197265,-19.811182,-16.634422,Neutral
-672.0,11359.0,9316.0,-7.727155,-19.821011,-16.376137,Neutral
886.0,7611.0,10828.0,-6.741489,-19.486584,-15.703286,Neutral
3900.0,2453.0,12670.0,-5.686256,-19.083426,-15.276839,Neutral
568.0,-4480.0,13919.0,-6.084685,-18.279844,-16.165983,Neutral
-5467.0,-15011.0,13965.0,-8.839413,-17.860458,-17.220163,Neutral
-889.0,-14229.0,13798.0,-9.471348,-18.229015,-17.373484,Neutral
3843.0,-7693.0,12738.0,-7.158805,-18.583588,-16.892653,Neutral
2073.0,-6604.0,10267.0,-5.895527,-17.408361,-16.238052,Neutral
1682.0,-4197.0,8547.0,-6.221179,-16.345547,-15.987666,Neutral
1622.0,-3501.0,7063.0,-6.654149,-16.198812,-15.96113,Neutral
-1197.0,-460.0,6182.0,-6.815565,-16.525356,-15.660455,Neutral
-2833.0,3326.0,6785.0,-6.725881,-17.033062,-14.849005,Neutral
-4266.0,7768.0,8654.0,-6.551934,-17.701294,-14.205974,Neutral
-3611.0,8807.0,9729.0,-6.484274,-19.284086,-12.503034,Neutral
-4443.0,5495.0,10191.0,-6.074621,-20.489594,-10.531807,Neutral
-4945.0,2526.0,9589.0,-5.647403,-22.120907,-7.012193,Neutral
-4351.0,-7.0,8727.0,-5.68016,-23.21768,-5.659956,Neutral
-2634.0,-1214.0,7416.0,-6.014434,-24.783791,-5.745719,Neutral
840.0,-226.0,7388.0,-5.813491,-25.351812,-6.490042,Neutral
3142.0,-2086.0,8300.0,-5.654524,-25.475096,-8.136263,Neutral
4872.0,-9431.0,8917.0,-6.883629,-25.428463,-8.648085,Neutral
6353.0,-14611.0,8286.0,-8.470859,-25.52702,-8.036485,Neutral
3838.0,-19214.0,6667.0,-10.1943,-24.931923,-7.227527,Neutral
2731.0,-17432.0,6113.0,-11.118405,-22.933573,-8.053279,Neutral
4148.0,-7791.0,6299.0,-11.959807,-22.051487,-10.756891,Neutral
3709.0,-1776.0,5934.0,-11.697719,-21.347919,-15.166053,Neutral
1023.0,1130.0,4338.0,-10.18356,-20.591593,-16.106157,Neutral
-1912.0,1990.0,4293.0,-8.721155,-18.962809,-14.641417,Neutral
-4810.0,3463.0,7122.0,-6.371094,-17.95686,-13.559094,Neutral
-5548.0,3629.0,9648.0,-4.659778,-17.20956,-13.643982,Neutral
-4035.0,5774.0,12885.0,-1.13181,-17.025797,-14.51875,Neutral
-1041.0,7426.0,14259.0,1.61243,-16.102917,-16.031034,Neutral
-406.0,-606.0,15153.0,4.365869,-15.064738,-16.820478,Neutral
-4594.0,-2218.0,13621.0,3.73213,-13.361655,-17.606138,Neutral
-1035.0,-1524.0,12241.0,2.140125,-13.033421,-17.90729,Neutral
-731.0,-645.0,11356.0,1.777241,-13.228136,-17.480774,Neutral
-2176.0,218.0,9488.0,0.336558,-13.358364,-16.527966,Neutral
-3139.0,2333.0,9287.0,-1.010946,-14.168736,-14.762001,Neutral
-3892.0,4047.0,9961.0,-2.962092,-15.106744,-13.659469,Neutral
-2211.0,2952.0,9346.0,-4.247673,-16.856691,-11.466279,Neutral
-1522.0,-1114.0,7925.0,-5.605762,-17.862698,-9.336362,Neutral
861.0,-4140.0,6346.0,-6.314852,-18.57213,-6.171935,Neutral
4538.0,-5495.0,3565.0,-6.755221,-18.700239,-5.037375,Neutral
14032.0,-8890.0,1708.0,-6.251239,-18.649666,-4.98115,Neutral
31589.0,-20731.0,-2689.0,-4.422061,-18.513485,-5.252134,Neutral
-28053.0,-20291.0,-4649.0,-2.989689,-16.729231,-7.051223,Neutral
29721.0,-3413.0,-6108.0,-1.157206,-13.332595,-11.282065,Neutral
23480.0,12364.0,-5454.0,-1.161542,-6.807771,-20.040627,Neutral
-487.0,11238.0,-9978.0,-2.575002,-2.63787,-23.958092,Neutral
-13162.0,10978.0,-6901.0,-4.025661,1.178316,-25.147182,Shoot
-18246.0,14946.0,1218.0,-8.144361,-1.619858,-26.772659,Shoot
-23167.0,17407.0,1863.0,-13.456189,-12.229341,-33.28112,Shoot
-27243.0,8811.0,-1963.0,-23.917902,-19.706766,-38.376633,Shoot
-24845.0,2565.0,83.0,-30.31702,-28.920057,-43.934906,Shoot
-23639.0,2152.0,11293.0,-39.449432,-33.861408,-49.268681,Shoot
-16505.0,10213.0,18390.0,-43.603874,-41.038734,-62.083069,Shoot
-16364.0,11408.0,19306.0,-44.262199,-44.599236,-68.24511,Shoot
-18497.0,7150.0,14382.0,-40.772568,-45.685474,-64.431755,Shoot
-21577.0,5500.0,6364.0,-33.021755,-43.080925,-56.817337,Shoot
-14670.0,11667.0,4044.0,-28.504412,-36.251099,-49.044479,Shoot
-5791.0,14184.0,1641.0,-22.449284,-31.789169,-47.800461,Shoot
-1450.0,13645.0,792.0,-19.313047,-25.742952,-44.434017,Shoot
6791.0,4800.0,7.0,-14.988474,-22.439598,-38.617989,Shoot
3943.0,4344.0,-2397.0,-12.60046,-17.364378,-28.86553,Shoot
3983.0,8324.0,-6723.0,-11.114717,-13.92828,-25.461748,Shoot
3023.0,6076.0,-7828.0,-11.445406,-9.945924,-22.919672,Neutral
-1029.0,-103.0,-6986.0,-13.215367,-8.156578,-20.521074,Neutral
-3463.0,-3377.0,-5555.0,-14.555225,-7.364814,-15.891332,Neutral
-3717.0,-3609.0,-1016.0,-15.898059,-8.113441,-12.710054,Neutral
-948.0,-2755.0,1703.0,-16.485287,-10.214951,-8.347939,Neutral
-2246.0,-7547.0,3940.0,-16.558172,-11.861003,-5.599964,Neutral
1307.0,-11354.0,3147.0,-16.415987,-14.130992,-1.763943,Neutral
647.0,-8667.0,2476.0,-15.76832,-15.724258,-0.895881,Neutral
-1237.0,-5487.0,2158.0,-14.850446,-16.848499,-2.92471,Neutral
-349.0,-4869.0,2180.0,-13.395437,-17.14703,-4.831316,Neutral
156.0,-6822.0,2756.0,-13.165627,-18.175257,-6.157732,Neutral
-39.0,-8381.0,3476.0,-13.731123,-19.12845,-6.211521,Neutral
-183.0,-7444.0,5030.0,-14.457351,-20.445244,-6.59832,Neutral
-263.0,-5705.0,6445.0,-15.730784,-21.223621,-7.466269,Neutral
333.0,-5135.0,6854.0,-16.545576,-22.183893,-8.439638,Neutral
-788.0,-5234.0,6891.0,-17.123848,-22.357149,-8.00198,Neutral
-421.0,-2672.0,6719.0,-17.047035,-21.9049,-6.775233,Neutral
-776.0,2057.0,5743.0,-16.273869,-21.39893,-6.705975,Neutral
-1940.0,5514.0,5894.0,-15.431633,-20.224367,-7.614207,Neutral
-2828.0,6589.0,5756.0,-14.10891,-19.324799,-8.359546,Neutral
-3332.0,3482.0,5477.0,-13.284702,-18.099333,-8.21185,Neutral
-2344.0,609.0,6662.0,-11.995957,-17.29121,-7.373239,Neutral
-1361.0,-830.0,7161.0,-10.892395,-16.027441,-6.746015,Neutral
-1245.0,-6813.0,8194.0,-10.01382,-15.239964,-6.892241,Neutral
-5609.0,-12059.0,8088.0,-10.541961,-14.2803,-6.947031,Neutral
-5167.0,-13399.0,8286.0,-11.583142,-13.989557,-6.671389,Neutral
-4954.0,-12068.0,7511.0,-11.653872,-14.121575,-6.393034,Neutral
-3556.0,-7115.0,5086.0,-11.628118,-14.224434,-6.487154,Neutral
