x,z,yaw,pitch,roll,action
-14355.0,-266.0,33.163857,9.129408,-44.709785,Jump_Backward
-16571.0,-2208.0,34.300915,10.806226,-34.971939,Neutral
-16584.0,684.0,34.216389,11.436896,-28.58016,Neutral
-13534.0,2551.0,33.616249,11.463742,-18.310427,Neutral
-7717.0,3930.0,33.321842,11.098251,-11.694753,Neutral
2932.0,8818.0,23.993557,8.104748,-19.53949,Neutral
-2442.0,7250.0,28.452368,8.665083,-22.612396,Neutral
-5873.0,7577.0,30.080177,8.663903,-28.285042,Neutral
-6961.0,9469.0,30.518293,7.913943,-32.804504,Neutral
-7935.0,9765.0,29.407784,6.31137,-40.616737,Jump_Forward
-12398.0,8580.0,25.549232,5.569652,-45.902187,Jump_Forward
-13489.0,7421.0,21.743706,3.966409,-52.8013,Jump_Forward
-9681.0,7713.0,15.042442,1.901318,-56.817818,Jump_Forward
-4101.0,7719.0,9.921793,-0.316892,-65.437767,Jump_Forward
-14926.0,5184.0,2.103919,0.080107,-74.125839,Jump_Forward
-16523.0,9487.0,-2.327193,0.159459,-86.379059,Jump_Forward
-19853.0,17761.0,-5.513617,-2.794749,-89.040253,Jump_Forward
-16985.0,22969.0,-4.188595,-7.592344,-85.674034,Jump_Backward
-12311.0,26756.0,0.976311,-8.559562,-81.805466,Jump_Backward
-7859.0,25197.0,4.006711,-7.040677,-78.020676,Jump_Backward
-6871.0,20894.0,7.040433,-5.676723,-77.020172,Jump_Backward
-4716.0,20896.0,9.211034,-4.901087,-73.998665,Jump_Backward
-5555.0,21187.0,13.64204,-5.219959,-69.285622,Jump_Backward
-9467.0,15128.0,17.14423,-5.930235,-58.538021,Jump_Backward
-15355.0,8290.0,21.532484,-6.000407,-49.567894,Jump_Backward
-13657.0,2495.0,23.797899,-5.193143,-34.787384,Neutral
-3810.0,-2259.0,26.809378,-3.811766,-25.207975,Neutral
-2934.0,-4510.0,29.340038,-0.606778,-14.354774,Neutral
-576.0,-628.0,33.143353,2.022465,-10.079563,Neutral
-552.0,16907.0,16.423037,5.150966,-17.771858,Neutral
482.0,13159.0,22.488832,4.108678,-21.077461,Neutral
-6079.0,7733.0,25.100407,3.60121,-27.347454,Neutral
-16895.0,-1403.0,26.012085,4.422041,-33.430634,Neutral
-18663.0,-2726.0,24.746876,5.792506,-44.536495,Jump_Forward
-16479.0,-607.0,20.573406,6.08214,-52.498943,Jump_Forward
-10163.0,6819.0,17.12196,5.905892,-63.849483,Jump_Forward
-7881.0,15743.0,13.520884,5.638587,-70.604012,Jump_Forward
-11305.0,19386.0,11.999391,6.130913,-78.243065,Jump_Forward
-11948.0,23630.0,8.567598,6.391983,-81.47567,Jump_Forward
-9900.0,24803.0,7.044328,4.818161,-84.748703,Jump_Forward
-11054.0,25764.0,7.120835,2.960104,-84.417259,Jump_Backward
-10202.0,22747.0,7.525288,0.100863,-80.270531,Jump_Backward
-11825.0,20252.0,7.905324,-1.51404,-77.252396,Jump_Backward
-12290.0,17912.0,8.854465,-3.126982,-73.971825,Jump_Backward
-10810.0,14568.0,11.620494,-3.700225,-71.42128,Jump_Backward
-9544.0,11568.0,14.047877,-4.095003,-66.060524,Jump_Backward
-9394.0,10681.0,17.968807,-3.944653,-61.770832,Jump_Backward
-9870.0,10815.0,20.519341,-3.281312,-54.978672,Jump_Backward
-8824.0,13394.0,24.161791,-3.209578,-49.343071,Jump_Backward
-8502.0,12702.0,25.591499,-3.76317,-37.110497,Neutral
-7307.0,9243.0,25.948235,-3.909074,-26.914398,Neutral
-3069.0,5047.0,25.868565,-2.491166,-12.202553,Neutral
754.0,-684.0,27.292397,-0.65857,-5.049151,Neutral
19748.0,10962.0,-30.248474,-10.375377,-28.567844,Neutral
9744.0,6985.0,-31.938803,-7.837808,-32.875271,Neutral
-3379.0,4648.0,-34.189983,-4.86748,-38.783321,Neutral
-20503.0,-340.0,-37.383347,-3.661869,-43.707256,Neutral
-30464.0,436.0,-38.435242,-4.887428,-54.498051,Shoot_Forward
-30444.0,-3812.0,-37.107738,-8.153167,-63.214268,Shoot_Forward
-28289.0,-5856.0,-33.136257,-15.864201,-75.925041,Shoot_Forward
-26555.0,-5096.0,-15.304932,-22.285606,-83.825981,Shoot_Forward
-24037.0,-477.0,-0.383019,-147.800629,-98.129585,Shoot_Forward
-17557.0,11101.0,5.153012,-141.791458,-107.862503,Shoot_Forward
-9540.0,23501.0,3.976086,-137.951569,-116.661964,Shoot_Forward
-2145.0,22288.0,1.558245,-139.749496,-118.163559,Shoot_Forward
-1519.0,14317.0,5.625593,-141.110931,-118.664589,Shoot_Forward
-1713.0,1519.0,10.315379,-140.762985,-121.11248,Shoot_Forward
-5953.0,-1658.0,3.823339,-139.00354,-122.088043,Shoot_Forward
-11755.0,1318.0,-15.089678,-137.305191,-117.399864,Shoot_Backward
-11617.0,2676.0,-26.832176,-135.820816,-107.462624,Shoot_Backward
-9739.0,6642.0,-43.727127,-136.102768,-101.08931,Shoot_Backward
-13081.0,4863.0,-52.875435,-41.826878,-88.497093,Shoot_Backward
-21210.0,-1320.0,-58.499931,-39.084072,-77.529129,Shoot_Backward
-18597.0,-3313.0,-55.828918,-33.501911,-63.661293,Shoot_Backward
-4646.0,3160.0,-49.246895,-29.635641,-60.301186,Shoot_Backward
-4115.0,3405.0,-47.042294,-24.222874,-57.960114,Shoot_Backward
-5805.0,523.0,-45.173454,-20.891798,-53.17131,Shoot_Backward
-2579.0,-1345.0,-42.606388,-16.622116,-43.307144,Neutral
-1220.0,-1274.0,-38.575588,-14.077718,-37.44614,Neutral
386.0,-3281.0,-36.401226,-11.743847,-30.539438,Neutral
5131.0,-381.0,-32.484764,-11.303909,-27.069052,Neutral
7165.0,4268.0,-34.738487,-8.266235,-27.237228,Neutral
3583.0,6373.0,-35.40749,-5.835423,-36.099026,Neutral
-5894.0,5851.0,-36.833683,-5.308561,-40.561321,Neutral
-12046.0,7179.0,-36.02961,-6.13833,-48.151291,Neutral
-17014.0,5342.0,-31.542326,-7.84959,-55.986607,Shoot_Forward
-26907.0,3610.0,-27.792906,-11.707912,-70.459946,Shoot_Forward
-28345.0,-6441.0,-20.929302,-15.660582,-79.901718,Shoot_Forward
-25924.0,-12540.0,-10.601772,-155.30806,-92.446754,Shoot_Forward
-24365.0,-5457.0,12.107098,-149.147736,-101.476151,Shoot_Forward
-13673.0,7018.0,10.996291,-140.709183,-117.916443,Shoot_Forward
-10618.0,20673.0,0.869362,-136.528122,-124.124908,Shoot_Forward
-4513.0,14690.0,0.489574,-133.366653,-122.753746,Shoot_Forward
-856.0,6848.0,12.984294,-133.425156,-121.308998,Shoot_Forward
-1664.0,3049.0,17.34663,-133.44278,-126.122017,Shoot_Forward
-6832.0,4956.0,12.372635,-132.244034,-128.387985,Shoot_Forward
-9343.0,7377.0,4.519771,-129.572067,-125.868179,Shoot_Backward
-9593.0,8644.0,-11.454659,-128.282669,-121.972778,Shoot_Backward
-12334.0,6448.0,-25.122227,-127.824532,-114.371849,Shoot_Backward
-17005.0,3785.0,-44.183918,-128.22757,-107.271538,Shoot_Backward
-17335.0,1519.0,-51.312317,-130.534714,-94.221931,Shoot_Backward
-19011.0,-352.0,-53.112648,-46.388546,-85.369957,Shoot_Backward
-17373.0,37.0,-50.249653,-40.10619,-75.694786,Shoot_Backward
-9102.0,4516.0,-47.41935,-35.71228,-73.008377,Shoot_Backward
-2985.0,8406.0,-47.710663,-30.443024,-67.30304,Shoot_Backward
2118.0,7634.0,-47.631905,-27.25382,-58.575703,Shoot_Backward
695.0,545.0,-45.154148,-21.77508,-40.833103,Neutral
2980.0,-3479.0,-39.389587,-17.955692,-31.844637,Neutral
6485.0,-3222.0,-35.526745,-14.095469,-26.49235,Neutral
12938.0,2161.0,-31.142588,-12.582136,-24.897308,Neutral
13560.0,12956.0,-34.937416,-10.923068,-23.098139,Neutral
10578.0,13067.0,-35.658215,-8.862315,-28.617184,Neutral
6661.0,13268.0,-36.149017,-7.884823,-33.145828,Neutral
-3223.0,8608.0,-36.571678,-7.683374,-43.77623,Neutral
-28948.0,-5960.0,-38.395203,-8.536232,-52.131195,Shoot_Forward
-29124.0,-13063.0,-38.206104,-12.849754,-64.846161,Shoot_Forward
-27577.0,-22847.0,-27.75926,-18.46925,-74.039688,Shoot_Forward
-25183.0,-20450.0,-10.861466,-27.575876,-89.879395,Shoot_Forward
-20047.0,4670.0,-0.505303,-147.369843,-102.75544,Shoot_Forward
-8006.0,16517.0,-15.207575,-139.458649,-115.38546,Shoot_Forward
-7341.0,17298.0,-31.499575,-135.879181,-111.782661,Shoot_Backward
-7511.0,10840.0,-29.128271,-134.623413,-101.519852,Shoot_Backward
-5444.0,5023.0,-15.068902,-136.134598,-101.444206,Shoot_Backward
-6936.0,5210.0,-9.314076,-137.583908,-108.322266,Shoot_Backward
-9102.0,5884.0,-12.486993,-137.507401,-111.451836,Shoot_Backward
-11940.0,4957.0,-20.734285,-136.667709,-110.538467,Shoot_Backward
-15238.0,2998.0,-35.545944,-135.94812,-106.327248,Shoot_Backward
-17191.0,1778.0,-42.46117,-135.788116,-97.045738,Shoot_Backward
-17293.0,4409.0,-48.93906,-136.758224,-90.717911,Shoot_Backward
-14221.0,5327.0,-51.218273,-40.305405,-80.294624,Shoot_Backward
-10709.0,6552.0,-52.574421,-37.485744,-72.314369,Shoot_Backward
-7704.0,3102.0,-52.135426,-32.712246,-59.339172,Shoot_Backward
2276.0,582.0,-48.32478,-29.542532,-50.89912,Shoot_Backward
5267.0,-788.0,-45.142872,-24.511276,-41.39996,Neutral
7294.0,404.0,-41.159504,-21.132448,-36.842579,Neutral
4762.0,-1905.0,-38.77076,-17.235588,-30.186117,Neutral
5656.0,-1149.0,-36.013695,-15.880622,-26.839931,Neutral
7148.0,5525.0,-37.727001,-9.140302,-20.417381,Neutral
-1943.0,1684.0,-42.087711,-7.642074,-27.546391,Neutral
-13996.0,1141.0,-46.300541,-7.864002,-39.095795,Neutral
-29922.0,-11778.0,-52.058334,-10.001099,-47.460381,Neutral
-28188.0,-17754.0,-51.766327,-16.232862,-61.096489,Shoot_Forward
-26700.0,-19404.0,-43.76149,-21.736212,-70.305008,Shoot_Forward
-24438.0,-10905.0,-29.646221,-30.556005,-83.467072,Shoot_Forward
-17546.0,1659.0,-7.345153,-144.012955,-92.460258,Shoot_Forward
-13564.0,11395.0,-2.917459,-137.772095,-104.185623,Shoot_Forward
-6894.0,20619.0,-3.373139,-135.910049,-109.393028,Shoot_Forward
-9560.0,21382.0,-6.953337,-136.081558,-112.250298,Shoot_Forward
-11092.0,14995.0,-12.864971,-136.657623,-111.376945,Shoot_Backward
-8468.0,12424.0,-18.936586,-137.135696,-109.257584,Shoot_Backward
-7895.0,8361.0,-33.124977,-137.244446,-106.307091,Shoot_Backward
-10400.0,4335.0,-43.110214,-137.095398,-97.671066,Shoot_Backward
-14805.0,574.0,-53.383686,-42.664192,-89.613945,Shoot_Backward
