Type,Time,x,y,z,Action
Accel,0.9995363,47.000000,-851.000000,1371.000000,Neutral
Gyro,0.9995363,-100.372993,-33.663681,-10.602902,Neutral
Accel,1.036498,152.000000,-1296.000000,1619.000000,Neutral
Gyro,1.036498,-100.289032,-33.863827,-10.519763,Neutral
Accel,1.036498,253.000000,-1047.000000,1539.000000,Neutral
Gyro,1.05887,-100.189316,-34.111889,-10.571197,Neutral
Accel,1.07516,-91.000000,-1327.000000,1302.000000,Neutral
Gyro,1.07516,-100.015129,-34.245224,-10.768725,Neutral
Accel,1.089994,26.000000,-662.000000,1511.000000,Neutral
Gyro,1.089994,-99.865784,-34.412014,-11.165187,Neutral
Accel,1.122194,49.000000,-288.000000,1270.000000,Neutral
Gyro,1.122194,-99.690033,-34.510258,-11.490086,Neutral
Accel,1.138026,135.000000,119.000000,1358.000000,Neutral
Gyro,1.154365,-99.626839,-34.644436,-11.760652,Neutral
Accel,1.171702,0.000000,-336.000000,1525.000000,Neutral
Gyro,1.171702,-99.675156,-34.741989,-11.810613,Neutral
Accel,1.188938,-2.000000,-187.000000,1557.000000,Neutral
Gyro,1.188938,-99.759407,-34.908691,-11.770230,Neutral
Accel,1.241709,44.000000,476.000000,1778.000000,Neutral
Gyro,1.241709,-99.928505,-34.982525,-11.744815,Neutral
Accel,1.241709,326.000000,404.000000,1785.000000,Neutral
Gyro,1.241709,-100.099510,-35.058910,-11.557998,Neutral
Accel,1.268936,538.000000,-281.000000,1308.000000,Neutral
Gyro,1.268936,-100.430649,-35.072037,-11.253084,Neutral
Accel,1.28574,472.000000,-719.000000,357.000000,Neutral
Gyro,1.302351,-100.679382,-34.984264,-10.885685,Neutral
Accel,1.319472,842.000000,-824.000000,-2052.000000,Neutral
Gyro,1.319472,-100.889877,-34.829205,-10.843301,Neutral
Accel,1.336285,491.000000,-405.000000,-3444.000000,Neutral
Gyro,1.352964,-100.877296,-34.520588,-11.239462,Neutral
Accel,1.370026,404.000000,1055.000000,-4005.000000,Neutral
Gyro,1.370026,-100.623131,-34.321804,-11.675385,Neutral
Accel,1.387208,639.000000,1997.000000,-3086.000000,Neutral
Gyro,1.403769,-100.400627,-34.329033,-12.150733,Neutral
Accel,1.421319,679.000000,3078.000000,-1379.000000,Neutral
Gyro,1.421319,-100.201996,-34.669376,-12.299812,Neutral
Accel,1.458352,915.000000,3181.000000,-80.000000,Neutral
Gyro,1.458352,-100.319389,-35.537464,-12.375931,Neutral
Accel,1.474638,1161.000000,-805.000000,1294.000000,Neutral
Gyro,1.474638,-100.737839,-36.267536,-12.105637,Neutral
Accel,1.48697,1310.000000,-5157.000000,1417.000000,Neutral
Gyro,1.504715,-101.148224,-37.336975,-11.158443,Neutral
Accel,1.521994,544.000000,-9431.000000,986.000000,Neutral
Gyro,1.521994,-101.969955,-37.975212,-10.639338,Neutral
Accel,1.538258,-147.000000,-6955.000000,1353.000000,Neutral
Gyro,1.553781,-102.313644,-38.506874,-11.147772,Neutral
Accel,1.571913,-301.000000,-1834.000000,2872.000000,Neutral
Gyro,1.571913,-102.179604,-38.579395,-12.258148,Neutral
Accel,1.591289,-125.000000,964.000000,4691.000000,Neutral
Gyro,1.591289,-102.020905,-38.644588,-13.176026,Neutral
Accel,1.615832,-61.000000,4004.000000,7015.000000,Neutral
Gyro,1.615832,-101.850235,-38.737404,-12.703619,Neutral
Accel,1.660724,-661.000000,3868.000000,7347.000000,Neutral
Gyro,1.660724,-101.873871,-38.858730,-10.773410,Neutral
Accel,1.660724,-649.000000,2938.000000,7478.000000,Neutral
Gyro,1.67794,-101.762520,-38.845573,-9.000352,Neutral
Accel,1.690358,19.000000,2699.000000,7700.000000,Neutral
Gyro,1.690358,-101.460327,-38.757488,-6.540140,Neutral
Accel,1.723072,1543.000000,1378.000000,6663.000000,Neutral
Gyro,1.723072,-100.781349,-38.702629,-5.372081,Neutral
Accel,1.739298,1458.000000,-15.000000,5678.000000,Neutral
Gyro,1.756792,-100.233063,-38.366882,-4.396884,Neutral
Accel,1.774126,2528.000000,-3738.000000,4253.000000,Neutral
Gyro,1.774126,-99.126556,-37.894619,-4.495914,Neutral
Accel,1.7894,3366.000000,-7064.000000,3163.000000,Neutral
Gyro,1.7894,-98.370361,-37.181179,-5.491107,Neutral
Accel,1.823561,2756.000000,-17499.000000,358.000000,Neutral
Gyro,1.823561,-97.573540,-36.696350,-6.359010,Neutral
