Type,Time,x,y,z,Action
Accel,3.162539,-5282.000000,-11331.000000,10700.000000,Neutral
Gyro,3.174255,-9.405730,-17.269909,-8.693060,Neutral
Accel,3.190393,-4914.000000,-8202.000000,9961.000000,Neutral
Gyro,3.190393,-10.045498,-17.146605,-9.832950,Neutral
Accel,3.223696,-3927.000000,-3283.000000,8698.000000,Neutral
Gyro,3.223696,-10.443933,-17.220791,-9.735334,Neutral
Accel,3.23968,-3921.000000,-328.000000,7728.000000,Neutral
Gyro,3.23968,-10.387685,-17.156036,-8.721389,Neutral
Accel,3.286289,-3640.000000,2088.000000,6570.000000,Neutral
Gyro,3.286289,-10.325716,-17.012312,-7.964150,Neutral
Accel,3.286289,-3334.000000,2966.000000,5951.000000,Neutral
Gyro,3.286289,-10.423139,-16.896940,-7.119764,Neutral
Accel,3.310371,-3038.000000,3195.000000,5531.000000,Neutral
Gyro,3.325136,-10.441019,-16.832108,-6.745751,Neutral
Accel,3.346879,-2787.000000,1985.000000,5237.000000,Neutral
Gyro,3.346879,-10.354322,-16.688175,-6.321109,Neutral
Accel,3.361718,-2498.000000,-99.000000,4698.000000,Neutral
Gyro,3.378235,-9.909468,-16.626520,-6.210755,Neutral
Accel,3.39456,-1625.000000,-222.000000,4871.000000,Neutral
Gyro,3.39456,-9.407215,-16.497618,-7.017398,Neutral
Accel,3.40985,-460.000000,81.000000,5495.000000,Neutral
Gyro,3.423643,-8.392636,-16.362305,-8.360874,Neutral
Accel,3.438839,-2106.000000,-1697.000000,6532.000000,Neutral
Gyro,3.438839,-8.022488,-16.013359,-10.747625,Neutral
Accel,3.471474,-5806.000000,-10379.000000,6668.000000,Neutral
Gyro,3.471474,-9.089035,-16.027864,-11.809118,Neutral
Accel,3.506938,-4175.000000,-13041.000000,6746.000000,Neutral
Gyro,3.506938,-10.241653,-17.238955,-11.697473,Neutral
Accel,3.530858,-3469.000000,-12199.000000,6852.000000,Neutral
Gyro,3.530858,-10.736321,-18.418859,-11.092651,Neutral
Accel,3.538968,-2530.000000,-8674.000000,6399.000000,Neutral
Gyro,3.538968,-10.671576,-19.144835,-10.805538,Neutral
Accel,3.5703,-1532.000000,-2985.000000,4621.000000,Neutral
Gyro,3.5703,-10.506414,-19.115557,-11.259768,Neutral
Accel,3.587137,-1404.000000,1167.000000,4345.000000,Neutral
Gyro,3.603512,-10.360501,-18.737928,-12.352159,Neutral
