Type,Time,x,y,z,Action
Gyro,2.996516,-95.165932,0.966670,-25.699638,Jump
Accel,3.02316,31086.000000,26204.000000,6738.000000,Jump
Gyro,3.02316,-92.595444,5.893553,-28.397751,Jump
Accel,3.05221,31045.000000,28679.000000,9754.000000,Jump
Gyro,3.05221,-91.917732,6.040727,-29.207865,Jump
Accel,3.080172,32292.000000,18843.000000,15066.000000,Jump
Gyro,3.080172,-92.225189,1.667720,-28.228981,Jump
Accel,3.103957,-31932.000000,16149.000000,14563.000000,Jump
Gyro,3.103957,-92.224808,-2.921621,-26.185427,Jump
Accel,3.11957,-24577.000000,17975.000000,9888.000000,Jump
Gyro,3.137022,-91.352463,-10.544505,-24.002314,Jump
Accel,3.15387,-26590.000000,23939.000000,5269.000000,Jump
Gyro,3.15387,-89.344200,-12.578920,-24.172867,Jump
Accel,3.170094,-31170.000000,30837.000000,1541.000000,Jump
Gyro,3.170094,-89.295860,-5.595072,-26.650677,Jump
Accel,3.202818,-22536.000000,25912.000000,-238.000000,Jump
Gyro,3.202818,-92.570168,0.770629,-27.730011,Jump
Accel,3.219211,-13864.000000,17994.000000,941.000000,Jump
Gyro,3.219211,-95.337845,4.251198,-25.601423,Jump
Accel,3.242312,-3363.000000,15209.000000,5669.000000,Jump
Gyro,3.258995,-99.269585,4.477956,-22.127235,Jump
Accel,3.298928,-1849.000000,11843.000000,6817.000000,Neutral
Gyro,3.298928,-102.059975,4.536230,-17.339977,Neutral
Accel,3.298928,262.000000,8774.000000,10209.000000,Neutral
Gyro,3.298928,-107.508118,4.774011,-15.061007,Neutral
Accel,3.322877,1612.000000,-2660.000000,11995.000000,Neutral
Gyro,3.322877,-112.972191,4.449704,-10.604667,Neutral
Accel,3.344363,5658.000000,-14956.000000,6302.000000,Neutral
Gyro,3.361758,-124.885223,2.648344,-6.939577,Neutral
Accel,3.378637,710.000000,-22191.000000,3744.000000,Neutral
Gyro,3.378637,-133.180801,-0.415386,-2.529130,Neutral
Accel,3.394603,575.000000,-29582.000000,2732.000000,Neutral
Gyro,3.410925,-145.431839,-1.377786,-0.215377,Neutral
Accel,3.427199,2129.000000,32187.000000,3507.000000,Neutral
Gyro,3.427199,-153.508911,-2.880935,2.036312,Neutral
Accel,3.443474,2952.000000,31904.000000,9450.000000,Neutral
Gyro,3.459784,-165.038742,-4.308472,3.033909,Neutral
Accel,3.487666,8265.000000,31500.000000,12526.000000,Neutral
Gyro,3.487666,-172.621002,-6.601074,4.468665,Neutral
Accel,3.498436,11987.000000,30802.000000,4398.000000,Neutral
Gyro,3.498436,177.048492,-8.282522,6.967930,Neutral
Accel,3.525691,16981.000000,29431.000000,-1721.000000,Neutral
Gyro,3.525691,173.565399,-7.251176,11.849698,Neutral
Accel,3.5593,1926.000000,-26436.000000,-1038.000000,Neutral
Gyro,3.5593,174.941162,-4.553049,10.116143,Neutral
Accel,3.575905,-1029.000000,-6496.000000,-767.000000,Neutral
Gyro,3.575905,178.068817,-0.239840,-0.199435,Neutral
Accel,3.592234,-3785.000000,3185.000000,2316.000000,Neutral
Gyro,3.607496,-179.390564,1.116921,-5.681925,Neutral
Accel,3.623648,-3197.000000,-2339.000000,3175.000000,Neutral
