Type,Time,x,y,z
Accel,3.696043,15152.000000,-17719.000000,14772.000000
Gyro,3.700254,-92.119324,53.015144,57.037632
Accel,3.725155,12645.000000,-15402.000000,16786.000000
Gyro,3.729164,-101.419594,56.886425,51.427258
Accel,3.750371,6972.000000,-6098.000000,16904.000000
Gyro,3.754486,-103.422195,59.120541,42.099552
Accel,3.771784,5535.000000,-2723.000000,11873.000000
Gyro,3.775613,-103.430450,59.093185,38.782692
Accel,3.797709,3227.000000,-1291.000000,9219.000000
Gyro,3.801866,-101.875473,58.284222,38.611004
Accel,3.822026,1986.000000,3858.000000,9804.000000
Gyro,3.825964,-99.064270,57.726006,40.062687
Accel,3.84564,2775.000000,2752.000000,9663.000000
Gyro,3.849491,-97.754135,56.480999,41.995552
Accel,3.870936,1952.000000,37.000000,7656.000000
Gyro,3.874461,-96.465866,55.771465,43.261707
Accel,3.895242,2480.000000,93.000000,8630.000000
Gyro,3.898917,-96.217216,55.475235,44.759949
Accel,3.920441,5131.000000,-2832.000000,9728.000000
Gyro,3.924476,-96.765976,55.354675,44.992081
Accel,3.945516,8632.000000,-6589.000000,8669.000000
Gyro,3.949111,-96.876068,55.618164,44.899658
Accel,3.973361,12922.000000,-5254.000000,11048.000000
Gyro,3.977279,-95.507233,56.146847,45.091587
Accel,3.99848,13807.000000,-4731.000000,13619.000000
Gyro,3.99848,-93.817856,56.685566,45.449005
Accel,4.020277,19066.000000,-10421.000000,10830.000000
Gyro,4.024527,-89.524872,56.735977,46.634216
Accel,4.04749,18648.000000,-7146.000000,10333.000000
Gyro,4.051467,-85.189606,57.210281,50.755150
Accel,4.073807,18248.000000,-362.000000,9120.000000
Gyro,4.073807,-78.360405,57.881279,53.779770
Accel,4.096444,16489.000000,-2794.000000,7458.000000
Gyro,4.100452,-73.732635,58.268181,59.461639
Accel,4.121575,17112.000000,-6637.000000,8673.000000
Gyro,4.125446,-67.718674,58.554531,65.606529
Accel,4.147779,14221.000000,-7914.000000,9931.000000
Gyro,4.147779,-64.173477,59.363735,75.414871
Accel,4.172295,10743.000000,-7355.000000,9951.000000
Gyro,4.175982,-60.792767,59.542953,81.441040
Accel,4.196961,7467.000000,-5964.000000,8120.000000
