x,y,z,yaw,pitch,roll,action
2528.0,-3738.0,4253.0,-99.126556,-37.894619,-4.495914,Neutral
3366.0,-7064.0,3163.0,-98.370361,-37.181179,-5.491107,Neutral
2756.0,-17499.0,358.0,-97.57354,-36.69635,-6.35901,Neutral
1212.0,-20930.0,-1920.0,-96.882957,-35.676464,-7.691495,Neutral
687.0,-14391.0,-1491.0,-94.492371,-34.848282,-9.384531,Neutral
1362.0,-6889.0,263.0,-92.533699,-33.828526,-13.265296,Neutral
1470.0,531.0,2677.0,-90.439095,-33.375534,-15.315319,Neutral
1102.0,3800.0,4439.0,-89.765953,-33.058739,-16.032677,Neutral
1333.0,6801.0,6339.0,-89.753784,-33.16032,-15.145962,Neutral
852.0,6875.0,6848.0,-90.237259,-33.592175,-12.257729,Neutral
836.0,8306.0,7755.0,-91.174469,-33.863621,-9.684955,Neutral
515.0,8323.0,7710.0,-91.810455,-34.338207,-6.075756,Neutral
337.0,5264.0,7018.0,-92.982277,-34.696514,-4.095542,Neutral
663.0,3045.0,6399.0,-93.793396,-35.275803,-2.097461,Neutral
1085.0,-320.0,5125.0,-94.417511,-35.628952,-1.640513,Neutral
2310.0,-2990.0,4539.0,-94.314995,-36.149574,-2.008301,Neutral
4168.0,-7796.0,4022.0,-93.886719,-36.584503,-2.796683,Neutral
4138.0,-10825.0,3388.0,-93.902611,-37.045292,-4.413182,Neutral
3627.0,-15157.0,2273.0,-94.415237,-37.122814,-5.211759,Neutral
2616.0,-17824.0,1925.0,-94.966637,-37.099762,-4.736975,Neutral
2690.0,-18500.0,2317.0,-95.487396,-37.057362,-3.294762,Neutral
3759.0,-13651.0,3538.0,-95.052269,-37.168194,-1.257086,Neutral
3935.0,-2994.0,5300.0,-94.105042,-37.247276,-1.632542,Neutral
3664.0,1124.0,5118.0,-93.547867,-36.489231,-3.170083,Neutral
2527.0,5615.0,5498.0,-92.843567,-35.424332,-3.638335,Neutral
1591.0,7897.0,5625.0,-92.546722,-33.596535,-3.77234,Neutral
1373.0,10422.0,6570.0,-92.226326,-32.494324,-3.572226,Neutral
614.0,8914.0,6500.0,-92.028229,-31.26516,-2.557311,Neutral
52.0,5107.0,7092.0,-91.949104,-30.714266,-1.379446,Neutral
983.0,2179.0,7618.0,-91.90419,-30.274473,0.189772,Neutral
4017.0,-5473.0,8278.0,-91.285637,-30.111305,0.694185,Neutral
5909.0,-14182.0,7981.0,-90.299217,-29.72817,0.846504,Neutral
5425.0,-23242.0,5081.0,-88.33316,-29.085964,0.056663,Neutral
2081.0,-22145.0,2139.0,-86.551964,-27.093599,-4.004131,Neutral
2991.0,-14864.0,2172.0,-83.236626,-25.508179,-7.958082,Neutral
2665.0,-11142.0,1465.0,-81.564209,-23.846972,-13.594115,Neutral
970.0,-4833.0,2133.0,-80.200134,-23.135313,-15.905968,Neutral
45.0,1133.0,3458.0,-79.90464,-22.637991,-17.613073,Neutral
-1951.0,6876.0,5314.0,-80.621582,-22.663784,-17.835003,Neutral
-3231.0,8461.0,6259.0,-81.759544,-23.261971,-16.343559,Neutral
-4025.0,7129.0,6790.0,-83.626091,-24.003801,-14.247325,Neutral
-3290.0,5749.0,7545.0,-84.528229,-25.526442,-10.616407,Neutral
-1190.0,7326.0,8845.0,-86.133514,-26.684574,-9.178313,Neutral
-2219.0,6889.0,8516.0,-87.465805,-28.035402,-8.188145,Neutral
-2798.0,2321.0,6138.0,-88.799835,-28.435505,-7.134861,Neutral
-651.0,1251.0,6152.0,-88.95002,-29.239828,-5.35887,Neutral
3616.0,303.0,5597.0,-89.132217,-30.189762,-5.461747,Neutral
4751.0,-2494.0,3971.0,-89.501869,-31.356194,-6.656872,Neutral
4190.0,-7304.0,2807.0,-89.966713,-31.509014,-7.014447,Neutral
3980.0,-13035.0,2211.0,-90.541214,-31.723206,-7.116645,Neutral
4822.0,-22099.0,887.0,-92.084259,-32.217896,-6.813645,Neutral
5926.0,-21520.0,581.0,-92.489738,-33.051212,-6.535998,Neutral
5836.0,-10500.0,2343.0,-90.904747,-33.2001,-7.703878,Neutral
5010.0,-2144.0,3456.0,-89.31456,-32.159111,-11.450036,Neutral
3192.0,5342.0,4101.0,-87.444336,-30.733541,-13.715102,Neutral
1842.0,8364.0,3976.0,-86.820312,-28.327263,-15.287089,Neutral
256.0,9910.0,4127.0,-86.607796,-26.977501,-14.988231,Neutral
-929.0,10114.0,4150.0,-86.579094,-25.493357,-13.039514,Neutral
-1490.0,8895.0,4655.0,-86.256294,-24.927277,-11.316937,Neutral
-1057.0,8027.0,5653.0,-86.015472,-24.755838,-9.123822,Neutral
-758.0,6918.0,6633.0,-85.871986,-24.862185,-8.23148,Neutral
-234.0,2823.0,6285.0,-85.716072,-24.790709,-7.213284,Neutral
3330.0,-8750.0,4431.0,-85.048958,-24.542387,-6.688783,Neutral
3610.0,-13010.0,2880.0,-84.479958,-24.129292,-7.525164,Neutral
-762.0,-16687.0,-636.0,-83.847809,-23.566013,-9.997648,Neutral
-400.0,-14669.0,-446.0,-83.464211,-22.39472,-15.015543,Neutral
1444.0,-9580.0,1468.0,-83.126633,-22.037333,-17.728506,Neutral
2098.0,-4547.0,3375.0,-83.069008,-22.209412,-19.368994,Neutral
2017.0,2120.0,5518.0,-83.284958,-22.485521,-19.121878,Neutral
1509.0,5056.0,5917.0,-83.797089,-22.796747,-17.768112,Neutral
-154.0,6874.0,5769.0,-85.05761,-22.854479,-16.401966,Neutral
-1208.0,6275.0,5103.0,-85.955917,-22.72867,-13.884624,Neutral
-1696.0,7863.0,5390.0,-86.936356,-22.709654,-12.323267,Neutral
-1867.0,8006.0,5743.0,-87.378036,-23.067169,-11.148247,Neutral
-1532.0,7299.0,5374.0,-88.11554,-23.517365,-10.84941,Neutral
-752.0,5011.0,4440.0,-88.540573,-24.298479,-10.370201,Neutral
-419.0,1957.0,3565.0,-88.653931,-24.742323,-9.961096,Neutral
132.0,1540.0,3732.0,-88.590302,-25.365576,-10.36231,Neutral
657.0,-5752.0,1634.0,-89.712379,-26.054184,-11.20381,Neutral
-988.0,-9824.0,110.0,-91.220924,-27.393106,-11.473661,Neutral
1406.0,-12930.0,-1499.0,-92.467712,-28.358763,-10.523164,Neutral
4092.0,-12822.0,-3570.0,-92.427589,-29.729389,-8.655691,Neutral
5718.0,-8471.0,-7152.0,-90.633629,-29.914373,-8.382394,Neutral
5673.0,-2032.0,-7654.0,-88.57531,-28.812115,-11.898615,Neutral
5467.0,5800.0,-7117.0,-85.923553,-27.509693,-16.549047,Neutral
4230.0,7259.0,-5387.0,-85.370163,-25.599867,-22.860855,Neutral
2872.0,-922.0,-4129.0,-86.152161,-25.121622,-24.496075,Neutral
1361.0,-5271.0,-2315.0,-86.640671,-26.101099,-23.518412,Neutral
1827.0,-2796.0,997.0,-85.609993,-27.330915,-22.678555,Neutral
2058.0,1692.0,2875.0,-84.22036,-29.10318,-23.904205,Neutral
801.0,5616.0,3301.0,-82.389893,-29.692652,-25.677214,Neutral
44.0,8065.0,3140.0,-81.545135,-29.693687,-27.682423,Neutral
-196.0,10987.0,1914.0,-80.49762,-29.469624,-28.519312,Neutral
660.0,13418.0,954.0,-79.868225,-28.983479,-29.44372,Neutral
1873.0,12949.0,597.0,-79.022354,-28.72233,-29.823835,Neutral
585.0,11949.0,596.0,-78.592079,-28.352009,-29.510475,Neutral
2665.0,9120.0,3895.0,-77.359467,-28.220663,-28.681606,Neutral
6113.0,7274.0,6579.0,-76.61248,-28.395962,-27.03097,Neutral
8344.0,-6753.0,7436.0,-75.965538,-28.609283,-25.352285,Neutral
4536.0,-19798.0,6625.0,-75.091835,-28.418058,-21.710384,Neutral
4771.0,-2831.0,9883.0,-72.11998,-28.183876,-21.741667,Neutral
6468.0,7274.0,11913.0,-69.453842,-27.990837,-27.492594,Neutral
6235.0,7473.0,11271.0,-67.201851,-26.918753,-29.896147,Neutral
2888.0,6153.0,10808.0,-67.1325,-24.934723,-28.643164,Neutral
956.0,6895.0,11035.0,-69.046295,-24.42676,-27.033955,Neutral
1051.0,6025.0,10994.0,-71.067635,-25.626888,-24.66177,Neutral
1824.0,4620.0,10139.0,-74.178703,-26.940599,-22.386799,Neutral
1982.0,3993.0,9317.0,-76.022987,-28.132656,-18.071838,Neutral
2505.0,4323.0,8494.0,-78.480171,-28.223379,-15.433971,Neutral
2968.0,3359.0,7826.0,-80.014748,-28.163458,-12.675973,Neutral
3325.0,900.0,5690.0,-82.025162,-28.196245,-11.385549,Neutral
3463.0,-673.0,4355.0,-82.805351,-28.262569,-9.842873,Neutral
4453.0,2915.0,4517.0,-83.020531,-28.208057,-9.454865,Neutral
6329.0,5423.0,5566.0,-82.999626,-28.002342,-10.054211,Neutral
9446.0,754.0,4551.0,-83.758331,-27.822844,-10.355365,Neutral
7101.0,-5662.0,1937.0,-85.285866,-27.323986,-9.600753,Neutral
6871.0,-14414.0,-2432.0,-87.78994,-26.849533,-8.600437,Neutral
7766.0,-16849.0,-3064.0,-88.566872,-26.104902,-7.64139,Neutral
8108.0,-15935.0,-3646.0,-88.815376,-25.193426,-8.01979,Neutral
7176.0,-9969.0,-2784.0,-88.513969,-23.270245,-9.843414,Neutral
4279.0,-600.0,-479.0,-87.642212,-21.896112,-11.603775,Neutral
3200.0,3254.0,66.0,-87.021851,-20.02532,-13.08302,Neutral
905.0,7286.0,1406.0,-85.93322,-18.962366,-12.736915,Neutral
-948.0,8573.0,2333.0,-85.101646,-17.577305,-11.482368,Neutral
-2267.0,9499.0,4043.0,-83.903259,-16.957525,-10.647775,Neutral
-3422.0,9905.0,5354.0,-83.277832,-16.693302,-9.711121,Neutral
-3999.0,9002.0,7596.0,-82.561211,-16.762764,-9.313873,Neutral
-2177.0,8064.0,9060.0,-81.982399,-17.133667,-8.612247,Neutral
3729.0,1634.0,8891.0,-80.460548,-17.532381,-7.93576,Neutral
3674.0,-10980.0,8150.0,-80.218529,-18.265032,-6.828029,Neutral
247.0,-15826.0,5530.0,-81.569664,-18.283041,-7.148211,Neutral
409.0,-15579.0,4917.0,-81.058411,-17.613634,-10.390777,Neutral
2868.0,-11394.0,3845.0,-79.747063,-16.965706,-12.90269,Neutral
2174.0,-7911.0,2664.0,-79.622009,-15.797519,-14.557432,Neutral
1003.0,-567.0,3424.0,-79.599472,-14.896615,-14.365847,Neutral
702.0,3543.0,3858.0,-79.794846,-13.882099,-13.435547,Neutral
-866.0,5996.0,3487.0,-80.530937,-13.411323,-12.216938,Neutral
-1772.0,6891.0,3141.0,-81.153191,-12.656434,-9.692423,Neutral
-3206.0,8051.0,2722.0,-82.079361,-12.169585,-8.240024,Neutral
-3730.0,7091.0,2512.0,-82.517204,-11.646215,-6.811581,Neutral
-4307.0,6583.0,2444.0,-82.892448,-11.629766,-6.229704,Neutral
-4071.0,5177.0,2310.0,-83.080803,-12.265803,-5.886004,Neutral
-3016.0,3662.0,2085.0,-83.205292,-12.991736,-5.81131,Neutral
-112.0,1826.0,2862.0,-83.267792,-14.35325,-5.75844,Neutral
2381.0,-7702.0,2881.0,-84.562469,-15.499461,-5.502532,Neutral
1556.0,-16952.0,1932.0,-86.478088,-17.075691,-3.7543,Neutral
3469.0,-22557.0,1464.0,-88.923553,-18.017784,-1.921275,Neutral
4903.0,-22756.0,1282.0,-89.44117,-19.125568,-0.077818,Neutral
4665.0,-16462.0,72.0,-88.71624,-19.130951,0.120136,Neutral
2929.0,-9444.0,340.0,-87.456467,-17.822182,-1.564602,Neutral
1289.0,-859.0,483.0,-85.349091,-16.566525,-3.851854,Neutral
-295.0,3569.0,706.0,-84.183205,-14.627359,-7.450976,Neutral
-2229.0,7605.0,1261.0,-83.003204,-13.399599,-9.286058,Neutral
-3517.0,9580.0,1727.0,-82.570747,-11.956085,-10.762066,Neutral
-4019.0,9482.0,2043.0,-81.936378,-11.43524,-10.820089,Neutral
-4519.0,9156.0,2802.0,-81.398552,-11.22972,-9.898907,Neutral
-4072.0,8633.0,4504.0,-80.555679,-11.376375,-9.140227,Neutral
-2070.0,7209.0,5739.0,-80.041237,-11.911481,-8.039876,Neutral
962.0,3187.0,5873.0,-79.234543,-12.337023,-7.256598,Neutral
1717.0,-6101.0,4584.0,-78.845604,-12.647324,-6.085147,Neutral
1581.0,-14363.0,3824.0,-78.958145,-12.632983,-5.629663,Neutral
1874.0,-12589.0,3980.0,-78.729294,-12.733545,-7.032417,Neutral
3536.0,-10919.0,4120.0,-77.771263,-12.825022,-8.795079,Neutral
2334.0,-11093.0,3049.0,-77.709518,-12.571974,-10.266963,Neutral
1328.0,-7363.0,3121.0,-78.104675,-12.274304,-10.497768,Neutral
1229.0,-3498.0,3617.0,-78.430153,-12.28132,-10.660698,Neutral
-259.0,958.0,3998.0,-79.170288,-12.424145,-10.379369,Neutral
-1380.0,2796.0,3893.0,-79.728264,-12.534034,-9.148364,Neutral
-2169.0,5552.0,4329.0,-80.504898,-12.63161,-8.072178,Neutral
-2520.0,6655.0,4495.0,-80.930603,-12.90624,-6.55873,Neutral
-2820.0,7597.0,4339.0,-81.475815,-13.166291,-5.697717,Neutral
-3151.0,6705.0,4268.0,-81.761833,-13.681147,-4.677212,Neutral
-2913.0,4948.0,3839.0,-82.185822,-14.148352,-4.334589,Neutral
-2157.0,3219.0,3658.0,-82.470695,-15.13813,-4.603575,Neutral
513.0,973.0,4077.0,-82.843285,-15.875016,-5.132395,Neutral
1883.0,-4735.0,4067.0,-83.582108,-17.093506,-5.857119,Neutral
2177.0,-15621.0,2849.0,-85.958321,-17.92178,-5.789154,Neutral
3937.0,-18151.0,2272.0,-87.335625,-19.271698,-5.144467,Neutral
5123.0,-16105.0,2156.0,-87.933235,-19.966223,-4.971304,Neutral
5488.0,-13317.0,1211.0,-87.725403,-19.771994,-5.188526,Neutral
4733.0,-6999.0,897.0,-86.66288,-18.858002,-5.665219,Neutral
3059.0,-3144.0,592.0,-85.865868,-16.916182,-7.373007,Neutral
437.0,1868.0,1252.0,-84.916435,-15.505219,-8.703912,Neutral
-1326.0,4501.0,1753.0,-84.515823,-13.654123,-10.229584,Neutral
-2608.0,6850.0,2513.0,-84.136505,-12.798151,-10.555397,Neutral
-3130.0,7570.0,2709.0,-83.846619,-11.969777,-9.969332,Neutral
-3629.0,8438.0,3265.0,-83.246429,-11.588331,-9.143606,Neutral
-4181.0,8347.0,3866.0,-82.82457,-11.221266,-7.836856,Neutral
-2735.0,6823.0,4573.0,-82.31662,-11.17443,-7.045712,Neutral
-1628.0,3852.0,4589.0,-82.161331,-11.290995,-5.831586,Neutral
-1291.0,-3824.0,4833.0,-82.287422,-11.259766,-5.0539,Neutral
-628.0,-8786.0,5179.0,-82.586151,-11.12732,-4.243767,Neutral
700.0,-12858.0,5604.0,-82.882576,-11.122952,-4.058135,Neutral
1237.0,-14041.0,6281.0,-82.931351,-11.033836,-3.947246,Neutral
660.0,-14915.0,5895.0,-83.136009,-10.774952,-3.805342,Neutral
-657.0,-13803.0,5486.0,-83.463203,-10.154512,-3.878769,Neutral
-2332.0,-8141.0,5126.0,-83.902084,-9.825064,-4.350323,Neutral
-2987.0,-3669.0,5004.0,-84.024078,-9.63081,-4.94576,Neutral
-3639.0,1626.0,4497.0,-84.01609,-9.615584,-4.745298,Neutral
-4091.0,3898.0,4302.0,-83.929695,-9.566156,-3.728856,Neutral
-4209.0,6520.0,4052.0,-83.72525,-9.494414,-2.947055,Neutral
-4078.0,7253.0,3711.0,-83.561813,-9.471835,-2.08363,Neutral
-4401.0,6357.0,3379.0,-83.438835,-9.545257,-1.79361,Neutral
-4325.0,4473.0,3199.0,-83.636612,-9.876187,-1.89387,Neutral
-3697.0,-773.0,3359.0,-84.172119,-10.347305,-2.327573,Neutral
-2465.0,-4962.0,3364.0,-84.629715,-11.46517,-3.434815,Neutral
-415.0,-12033.0,3066.0,-85.401886,-12.482086,-4.347773,Neutral
345.0,-14127.0,2277.0,-85.930061,-14.114775,-5.426011,Neutral
1870.0,-14062.0,1722.0,-86.292168,-15.073584,-5.860783,Neutral
2406.0,-12575.0,1206.0,-86.330482,-15.965711,-6.233439,Neutral
3347.0,-8521.0,390.0,-86.019028,-15.948289,-6.606825,Neutral
3123.0,-5559.0,-20.0,-85.551964,-15.236629,-7.703536,Neutral
1685.0,-2176.0,-204.0,-84.96653,-14.41066,-8.750695,Neutral
181.0,770.0,127.0,-84.698814,-13.013123,-10.55017,Neutral
-1263.0,4389.0,1073.0,-84.379875,-12.281381,-11.667142,Neutral
-2231.0,6192.0,2000.0,-84.23558,-11.629795,-12.511153,Neutral
-3305.0,7448.0,2903.0,-84.017372,-11.457593,-12.300524,Neutral
-3857.0,7570.0,3503.0,-83.749237,-11.52253,-11.120854,Neutral
-3769.0,8532.0,4866.0,-83.333366,-11.738392,-10.185936,Neutral
-3178.0,8744.0,5668.0,-83.06459,-12.183285,-8.946917,Neutral
-1856.0,6428.0,6628.0,-82.869316,-12.447083,-8.013327,Neutral
-755.0,-866.0,6499.0,-83.175072,-12.751208,-6.272637,Neutral
-1084.0,-12223.0,5272.0,-84.620911,-12.893978,-5.219879,Neutral
-1180.0,-14154.0,4810.0,-85.184761,-12.836665,-5.250513,Neutral
653.0,-11917.0,5083.0,-84.512871,-12.700429,-6.467468,Neutral
303.0,-11276.0,4994.0,-84.185287,-12.249042,-7.969602,Neutral
-1097.0,-9457.0,4779.0,-84.252281,-11.757823,-8.111249,Neutral
-1226.0,-7005.0,4962.0,-84.458305,-11.504495,-7.9646,Neutral
-2121.0,-3182.0,5192.0,-84.988197,-11.660001,-7.662576,Neutral
-2945.0,-1060.0,5023.0,-85.419685,-11.830628,-6.65839,Neutral
-3314.0,1706.0,4913.0,-86.012451,-11.868985,-5.802155,Neutral
-3215.0,3401.0,4600.0,-86.309227,-11.852582,-4.663135,Neutral
-3167.0,4968.0,4406.0,-86.525543,-11.779325,-4.140852,Neutral
-3140.0,5630.0,4337.0,-86.569534,-11.541429,-3.815256,Neutral
-3252.0,4745.0,4164.0,-86.774826,-11.411105,-3.905759,Neutral
-2541.0,1690.0,3869.0,-87.167191,-11.436476,-4.353424,Neutral
-2961.0,-4260.0,3718.0,-88.060661,-11.665837,-4.752206,Neutral
-1811.0,-7755.0,3871.0,-88.629707,-12.367521,-5.660217,Neutral
-474.0,-13179.0,3611.0,-89.522354,-13.043133,-6.411108,Neutral
-577.0,-15797.0,2778.0,-90.149277,-13.954584,-7.444867,Neutral
-857.0,-12964.0,1936.0,-90.571167,-14.351455,-8.009218,Neutral
-719.0,-7952.0,1953.0,-90.365219,-14.523623,-8.854706,Neutral
-674.0,387.0,2068.0,-89.517807,-14.267794,-9.275233,Neutral
