Type,Time,x,y,z,Action
Gyro,0.6677077,-28.477821,-22.785797,-11.144168,Neutral
Accel,0.6852165,-3839.000000,-2960.000000,9380.000000,Neutral
Gyro,0.6852165,-28.565313,-22.823799,-11.131749,Neutral
Accel,0.7168603,-3580.000000,-3730.000000,9092.000000,Neutral
Gyro,0.7168603,-28.646591,-22.878723,-11.138185,Neutral
Accel,0.7321331,-3438.000000,-3785.000000,8766.000000,Neutral
Gyro,0.7495296,-28.716362,-22.931616,-11.176664,Neutral
Accel,0.7856149,-3540.000000,-3106.000000,9027.000000,Neutral
Gyro,0.7856149,-28.710897,-22.955845,-11.445668,Neutral
Accel,0.7856149,-3662.000000,-2075.000000,9125.000000,Neutral
Gyro,0.7856149,-28.658207,-22.976810,-11.643463,Neutral
Accel,0.8120482,-3565.000000,-1832.000000,9036.000000,Neutral
Gyro,0.8120482,-28.663763,-23.164669,-11.876978,Neutral
Accel,0.8328921,-3744.000000,-1806.000000,9462.000000,Neutral
Gyro,0.8328921,-28.802120,-23.423954,-11.888325,Neutral
Accel,0.8568848,-4084.000000,-1989.000000,9647.000000,Neutral
Gyro,0.8568848,-29.010498,-23.877798,-11.789121,Neutral
Accel,0.8891576,-3945.000000,-1901.000000,9933.000000,Neutral
Gyro,0.8891576,-29.387768,-24.227049,-11.788448,Neutral
Accel,0.909037,-3787.000000,-1609.000000,10128.000000,Neutral
Gyro,0.909037,-29.653027,-24.818283,-11.722014,Neutral
Accel,0.9432384,-3700.000000,-1280.000000,10509.000000,Neutral
Gyro,0.9432384,-30.100466,-25.185133,-11.618855,Neutral
Accel,0.9603646,-3795.000000,-1115.000000,10519.000000,Neutral
Gyro,0.9603646,-30.460150,-25.659847,-11.501369,Neutral
Accel,0.9985831,-4109.000000,-1937.000000,10781.000000,Neutral
Gyro,0.9985831,-31.109852,-25.931540,-11.448696,Neutral
Accel,1.015972,-4067.000000,-2400.000000,10767.000000,Neutral
Gyro,1.015972,-31.543064,-26.338106,-11.366731,Neutral
Accel,1.032439,-4213.000000,-1984.000000,10628.000000,Neutral
Gyro,1.032439,-32.247795,-26.596027,-11.288589,Neutral
Accel,1.052037,-4182.000000,-1520.000000,10467.000000,Neutral
Gyro,1.070246,-32.782486,-26.942232,-11.209964,Neutral
Accel,1.087197,-4878.000000,-1721.000000,10334.000000,Neutral
Gyro,1.087197,-33.738659,-27.187090,-11.095469,Neutral
Accel,1.105282,-4795.000000,-2083.000000,10252.000000,Neutral
Gyro,1.105282,-34.475967,-27.611338,-10.762963,Neutral
Accel,1.138077,-4520.000000,-1565.000000,10050.000000,Neutral
Gyro,1.138077,-35.540512,-27.954496,-10.441103,Neutral
Accel,1.154518,-3895.000000,-1199.000000,9480.000000,Neutral
Gyro,1.154518,-36.281765,-28.424248,-9.847132,Neutral
Accel,1.206645,-4132.000000,-690.000000,8652.000000,Neutral
Gyro,1.206645,-37.471386,-28.692259,-9.522696,Neutral
Accel,1.206645,-5038.000000,-2787.000000,8073.000000,Neutral
Gyro,1.206645,-38.389107,-28.995789,-9.313461,Neutral
Accel,1.2339,-4773.000000,-6996.000000,7346.000000,Neutral
Gyro,1.2339,-39.674305,-29.234337,-9.262609,Neutral
Accel,1.262149,-4697.000000,-9190.000000,6682.000000,Neutral
Gyro,1.262149,-40.187057,-29.672234,-9.289814,Neutral
Accel,1.290893,-4315.000000,-10620.000000,6076.000000,Neutral
Gyro,1.290893,-40.355583,-29.850868,-9.802469,Neutral
Accel,1.307824,-3893.000000,-10368.000000,6297.000000,Neutral
Gyro,1.307824,-40.163357,-30.002781,-11.873415,Neutral
Accel,1.342011,-2619.000000,-8506.000000,5861.000000,Neutral
Gyro,1.342011,-39.475616,-30.070461,-13.757402,Neutral
Accel,1.359264,-2513.000000,-7095.000000,5894.000000,Neutral
Gyro,1.359264,-38.770195,-29.939650,-16.190659,Neutral
Accel,1.415729,-2274.000000,-4117.000000,5939.000000,Neutral
Gyro,1.415729,-37.424351,-29.646173,-17.286011,Neutral
Accel,1.415729,-1774.000000,-2533.000000,5981.000000,Neutral
Gyro,1.415729,-36.412498,-29.077204,-18.481575,Neutral
Accel,1.432798,-1791.000000,248.000000,6581.000000,Neutral
Gyro,1.432798,-34.657833,-28.660156,-19.187258,Neutral
Accel,1.459309,-2300.000000,2753.000000,7197.000000,Neutral
Gyro,1.459309,-33.371861,-27.966076,-20.288427,Neutral
Accel,1.491084,-3082.000000,4897.000000,8203.000000,Neutral
Gyro,1.491084,-31.334511,-27.520185,-20.791231,Neutral
Accel,1.508622,-3529.000000,5225.000000,9044.000000,Neutral
Gyro,1.508622,-30.014320,-26.982172,-20.779230,Neutral
Accel,1.542374,-4058.000000,4380.000000,9938.000000,Neutral
Gyro,1.542374,-28.076965,-26.715309,-20.323702,Neutral
Accel,1.558884,-4437.000000,3409.000000,10120.000000,Neutral
Gyro,1.558884,-26.723476,-26.234434,-19.275629,Neutral
Accel,1.593638,-4642.000000,2548.000000,10746.000000,Neutral
Gyro,1.593638,-24.737474,-25.750402,-18.723482,Neutral
Accel,1.636177,-4122.000000,1619.000000,11759.000000,Neutral
Gyro,1.636177,-23.862631,-24.945242,-19.201759,Neutral
Accel,1.636177,-5416.000000,-2279.000000,11498.000000,Neutral
Gyro,1.636177,-23.442726,-24.463318,-20.098482,Neutral
Accel,1.668587,-6998.000000,-5276.000000,11242.000000,Neutral
Gyro,1.668587,-23.623245,-23.800257,-20.596575,Neutral
Accel,1.682772,-6301.000000,-6265.000000,11519.000000,Neutral
Gyro,1.682772,-24.117283,-23.621599,-20.434008,Neutral
Accel,1.705467,-5154.000000,-4086.000000,11696.000000,Neutral
Gyro,1.705467,-24.401834,-23.939634,-20.296387,Neutral
Accel,1.7386,-4068.000000,-325.000000,11109.000000,Neutral
Gyro,1.7386,-24.845684,-24.298204,-20.323521,Neutral
Accel,1.75517,-3272.000000,1551.000000,10868.000000,Neutral
Gyro,1.75517,-25.148808,-24.781115,-19.860989,Neutral
Accel,1.787577,-2412.000000,4295.000000,10307.000000,Neutral
Gyro,1.787577,-25.691181,-25.090708,-19.185658,Neutral
Accel,1.804606,-1860.000000,4978.000000,9997.000000,Neutral
Gyro,1.804606,-26.088591,-25.555683,-17.827097,Neutral
Accel,1.841166,-1242.000000,3761.000000,9286.000000,Neutral
Gyro,1.841166,-26.731058,-25.843925,-16.748663,Neutral
Accel,1.866263,-819.000000,2659.000000,8717.000000,Neutral
Gyro,1.866263,-27.170454,-26.229897,-15.128824,Neutral
Accel,1.878813,-735.000000,1464.000000,7758.000000,Neutral
Gyro,1.888687,-27.579145,-26.387835,-14.321130,Neutral
Accel,1.905755,-631.000000,154.000000,7147.000000,Neutral
Gyro,1.905755,-27.683107,-26.413658,-13.817784,Neutral
Accel,1.940311,-398.000000,-1575.000000,6527.000000,Neutral
Gyro,1.940311,-27.714376,-26.348722,-14.011156,Neutral
Accel,1.956556,101.000000,-2970.000000,5895.000000,Neutral
Gyro,1.956556,-27.499126,-26.271372,-15.077792,Neutral
Accel,1.992351,156.000000,-7136.000000,5549.000000,Neutral
Gyro,1.992351,-26.959248,-26.166164,-16.074928,Neutral
Accel,2.007383,-757.000000,-11533.000000,5140.000000,Neutral
Gyro,2.007383,-27.088787,-25.827360,-18.030287,Neutral
Accel,2.045685,-276.000000,-13039.000000,4060.000000,Neutral
Gyro,2.045685,-27.432276,-25.767515,-19.687002,Neutral
Accel,2.060658,808.000000,-10745.000000,3908.000000,Neutral
Gyro,2.060658,-27.147907,-25.875690,-21.944363,Neutral
Accel,2.085452,2321.000000,-6256.000000,4360.000000,Neutral
Gyro,2.085452,-26.325603,-25.728512,-22.817976,Neutral
Accel,2.102889,1762.000000,-2919.000000,4705.000000,Neutral
Gyro,2.12061,-25.420908,-25.303722,-22.762234,Neutral
Accel,2.13726,1850.000000,985.000000,4580.000000,Neutral
Gyro,2.13726,-23.419159,-24.838623,-21.892492,Neutral
Accel,2.154706,735.000000,3847.000000,4365.000000,Neutral
Gyro,2.154706,-21.825001,-23.716621,-20.151314,Neutral
Accel,2.186706,-594.000000,10915.000000,4508.000000,Neutral
Gyro,2.186706,-18.999796,-22.704304,-19.468552,Neutral
Accel,2.203558,-2863.000000,15777.000000,5342.000000,Neutral
Gyro,2.219697,-16.898973,-20.908627,-19.526268,Neutral
Accel,2.255712,-3991.000000,21920.000000,6894.000000,Neutral
Gyro,2.255712,-14.360418,-19.668957,-19.876141,Neutral
Accel,2.255712,-5019.000000,23470.000000,7634.000000,Neutral
Gyro,2.255712,-13.529002,-18.567438,-19.575180,Neutral
Accel,2.279856,-5591.000000,27582.000000,7211.000000,Neutral
Gyro,2.296399,-13.811018,-18.471643,-18.311039,Neutral
Accel,2.314603,-8369.000000,26687.000000,7139.000000,Neutral
Gyro,2.314603,-15.035475,-19.277781,-14.932572,Neutral
Accel,2.331379,-11699.000000,22100.000000,7059.000000,Neutral
Gyro,2.348113,-21.207737,-20.466600,-12.251103,Neutral
Accel,2.36461,-15578.000000,17427.000000,5996.000000,Neutral
Gyro,2.36461,-29.427649,-23.855116,-8.140183,Neutral
Accel,2.383707,-25273.000000,10737.000000,2789.000000,Neutral
Gyro,2.383707,-47.376305,-26.376276,-4.485165,Neutral
Accel,2.414335,-24939.000000,4538.000000,4197.000000,Neutral
Gyro,2.414335,-62.027802,-28.546284,2.157060,Neutral
Accel,2.43093,-25005.000000,12752.000000,5266.000000,Neutral
